Row,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
bus19,2.51529662653738e-08,2.52039127346393e-08,2.49087832582262e-08,2.49655476292077e-08,2.49087832582262e-08,2.51529662653738e-08,3.08881188404442e-08,3.094008660387e-08,3.09181811264381e-08,3.08683849592484e-08,3.09181811264381e-08,3.09668343190239e-08,3.09237132567475e-08,3.09521146490965e-08,3.09350444149814e-08,3.09181811264381e-08,3.07994909576337e-08,3.08026621986812e-08,3.07064610405305e-08,3.06601691812958e-08,3.07011540634505e-08,3.08859987585564e-08,3.09944774290472e-08,3.09664178743674e-08
bus20,2.23035095947566e-08,2.23535880916614e-08,2.216615280215e-08,2.2200195570754e-08,2.216615280215e-08,2.23035095947566e-08,2.85957590939745e-08,2.83397759703874e-08,2.80812542108322e-08,2.79855866258671e-08,2.80812542108322e-08,2.81789110934128e-08,2.82044004817905e-08,2.82895791237081e-08,2.82448189281581e-08,2.80812542108322e-08,2.7731868246228e-08,2.74431507518713e-08,2.71964415432535e-08,2.71218868475032e-08,2.73071748546627e-08,2.79228694610723e-08,2.85083189277557e-08,2.87883461513871e-08
bus21,2.18905568116767e-08,2.19612440455208e-08,2.18116462669116e-08,2.1854182241654e-08,2.18116462669116e-08,2.18905568116767e-08,2.81712121408262e-08,2.78541992804193e-08,2.75509672853502e-08,2.74466588345845e-08,2.75509672853502e-08,2.76577849511739e-08,2.76961935608e-08,2.77921262670233e-08,2.77421144945222e-08,2.75509672853502e-08,2.71679863050878e-08,2.68187017038457e-08,2.65449010550256e-08,2.64646236036725e-08,2.66780981750259e-08,2.73782718718252e-08,2.80449319323139e-08,2.83850715154799e-08
bus22,2.14683811838867e-08,2.15510824741472e-08,2.14266044906708e-08,2.14702100542752e-08,2.14266044906708e-08,2.14683811838867e-08,2.76967647705462e-08,2.73218766499994e-08,2.69798935415011e-08,2.68691381366537e-08,2.69798935415011e-08,2.70937516866354e-08,2.71438318488748e-08,2.72490572328365e-08,2.71945468366397e-08,2.69798935415011e-08,2.65763445694844e-08,2.61875010565404e-08,2.59207502129044e-08,2.58507879546954e-08,2.60444797950399e-08,2.68019699767308e-08,2.75326269560949e-08,2.7931777224488e-08
bus23,2.40167536968983e-08,2.40491565550727e-08,2.23042437852428e-08,2.24338233545396e-08,2.23042437852428e-08,2.40167536968983e-08,3.13514669780801e-08,3.24771370907584e-08,3.31489665716944e-08,3.29811041810402e-08,3.31489665716944e-08,3.33073434388709e-08,3.27695025559294e-08,3.27766999097534e-08,3.27523116405715e-08,3.31489665716944e-08,3.27375564435073e-08,3.39709969043867e-08,3.43527558621659e-08,3.41787500524049e-08,3.37006554884667e-08,3.29238610818905e-08,3.24639684023964e-08,3.13376736782445e-08
bus24,4.14988813313144e-08,4.29609059438008e-08,3.20967157296792e-08,3.19287959404946e-08,3.20967157296792e-08,4.14988813313144e-08,4.37016284271508e-08,5.48298023650418e-08,6.53223974911299e-08,6.33792220927631e-08,6.53223974911299e-08,6.74537218303684e-08,5.88938068313283e-08,5.87123529793843e-08,5.84736650210971e-08,6.53223974911299e-08,6.86440021491208e-08,9.4764613156606e-08,1.24961647474109e-07,1.13357988329454e-07,9.31225514477774e-08,6.71605655533369e-08,5.44715217376535e-08,4.3022806539561e-08
bus25,4.18058440088132e-08,4.32485545154293e-08,3.22326930701777e-08,3.20575492818165e-08,3.22326930701777e-08,4.18058440088132e-08,4.4369923180021e-08,5.64157738303095e-08,6.81795349066761e-08,6.62114388871871e-08,6.81795349066761e-08,7.03058217199626e-08,6.0879473240405e-08,6.06001980818505e-08,6.03821188605025e-08,6.81795349066761e-08,7.25298139325758e-08,1.01501078431099e-07,1.35781600962837e-07,1.22987094730576e-07,9.98529177120844e-08,7.02544212805023e-08,5.58537435191298e-08,4.35158298284222e-08
bus26,2.64226786006461e-08,2.65067303661937e-08,2.17318363304742e-08,2.21464392380355e-08,2.17318363304742e-08,2.64226786006461e-08,2.69261037910695e-08,2.99961159244688e-08,3.20649051754884e-08,3.18438122537401e-08,3.20649051754884e-08,3.21880860854051e-08,3.09319424518506e-08,3.09320705715876e-08,3.08874442689344e-08,3.20649051754884e-08,3.75643535166503e-08,4.31949429557932e-08,4.57280323606923e-08,4.54142027317417e-08,4.29319138017803e-08,3.819301130914e-08,2.96467246307941e-08,2.68360657029731e-08
bus27,2.64854422837857e-08,2.65808636212839e-08,2.17822737624829e-08,2.21756526475048e-08,2.17822737624829e-08,2.64854422837857e-08,2.69755894288792e-08,3.00038027756244e-08,3.20801925024483e-08,3.1849115900151e-08,3.20801925024483e-08,3.22690861809249e-08,3.1057865945705e-08,3.10308416739957e-08,3.10055203733839e-08,3.20801925024483e-08,3.77321213163029e-08,4.39626837156482e-08,4.64977107927922e-08,4.58936649794239e-08,4.37413880671755e-08,3.84522359508921e-08,2.96792471710106e-08,2.68953418425255e-08
bus28,2.61647321586622e-08,2.63076342932322e-08,2.17400220048347e-08,2.21196484462283e-08,2.17400220048347e-08,2.61647321586622e-08,2.66441383400817e-08,2.92260833312241e-08,3.12134000868269e-08,3.10263583713777e-08,3.12134000868269e-08,3.13791966854993e-08,3.06840438613065e-08,3.06779767145215e-08,3.06576513064982e-08,3.12134000868269e-08,3.70402208904608e-08,4.37168844458213e-08,4.56669057014025e-08,4.41311854837423e-08,4.35589597724828e-08,3.76193753925946e-08,2.89921624485601e-08,2.65243168540152e-08
