h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
6.32089830476801e-09,6.17716339190721e-09,6.03422667388998e-09,5.9632842552837e-09,6.03422667388998e-09,6.32089830476801e-09,1.21298323052521e-08,1.35197615880323e-08,1.46049906057932e-08,1.49118028480721e-08,1.46049906057932e-08,1.43142848685329e-08,1.40347007349106e-08,1.3762264994277e-08,1.38964866835956e-08,1.46049906057932e-08,6.66632397616773e-08,1.07219083667065e-07,1.71785196900753e-07,1.96961288001507e-07,1.19519944941082e-07,1.33520782763519e-08,1.1453393622407e-08,1.03562911024646e-08
1.36871213252121e-08,1.32772799421588e-08,1.28528918619253e-08,1.26349741780274e-08,1.28528918619253e-08,1.36871213252121e-08,2.28163413718008e-08,2.44983672237353e-08,2.42495387103858e-08,2.47300991351729e-08,2.42495387103858e-08,2.39410683500196e-08,2.39585652983543e-08,2.39932180789992e-08,2.39490251519037e-08,2.42495387103858e-08,4.03519774261341e-08,3.99823636421104e-08,3.8204082619675e-08,3.72747413490693e-08,3.97451694333917e-08,2.29406354468331e-08,2.24165603857074e-08,2.22378235270604e-08
2.64636905722426e-08,2.47847545264968e-08,2.32398999489014e-08,2.25100877382367e-08,2.32398999489014e-08,2.64636905722426e-08,1.21699670230235e-07,1.54064473012472e-07,1.76391330652947e-07,1.90777497077743e-07,1.76391330652947e-07,1.66424006076138e-07,1.573018824641e-07,1.50602600723637e-07,1.53062160057615e-07,1.76391330652947e-07,0.00759654226699708,0.00871466341164184,0.00951489818814177,0.00969320718637295,0.00895023027658309,1.40085971989112e-07,1.13871705620383e-07,1.01646503714026e-07
4.05964134531089e-08,3.70133559912666e-08,3.38063299021307e-08,3.2345414791024e-08,3.38063299021307e-08,4.05964134531089e-08,0.00604466644848722,0.0100474656317202,0.0125865908864458,0.0131776774960027,0.0125865908864458,0.0120075897414189,0.0113613280208384,0.0107061382529451,0.0110347637207148,0.0125865908864458,0.0200808411578622,0.0220982658017036,0.0237134417751679,0.0241174112905626,0.0225019581697943,0.0116402986000074,0.00609361761521388,0.00191968823005018
7.24679349861646e-08,6.84756797375563e-08,6.38569819799706e-08,6.14357332229254e-08,6.38569819799706e-08,7.24679349861646e-08,3.62215482829775e-07,4.71551183711671e-07,1.41598273772914e-07,1.18515458336077e-07,1.41598273772914e-07,1.89685227858227e-07,2.54435324087421e-07,3.30502734458005e-07,2.91823534337432e-07,1.41598273772914e-07,5.07358737800168e-08,2.31131504491167e-08,1.32582858580754e-08,1.13649565869345e-08,2.05000564301727e-08,8.6848303937348e-08,3.34342074914673e-07,2.47339653869361e-07
8.54362605662295e-08,8.03497058332603e-08,7.43366290190117e-08,7.12459922169728e-08,7.43366290190117e-08,8.54362605662295e-08,5.78650268034941e-07,8.48790358776164e-07,2.281809129423e-07,1.83539015208289e-07,2.281809129423e-07,3.15212033752399e-07,4.46897722772288e-07,6.07079674752597e-07,5.31064863862341e-07,2.281809129423e-07,7.37713885534674e-08,2.78364510331031e-08,1.49122416637226e-08,1.28187509496058e-08,2.39848867433778e-08,1.23332331181114e-07,5.31077426257909e-07,3.33593313472935e-07
1.95247225220907e-07,1.80718971065641e-07,1.65411788488612e-07,1.57425799729438e-07,1.65411788488612e-07,1.95247225220907e-07,1.53551597861235e-05,0.000606972452754262,1.42494384380853e-06,9.77933072576764e-07,1.42494384380853e-06,3.2381187777264e-06,1.41624607838953e-05,0.000171784258163388,4.94743575394918e-05,1.42494384380853e-06,5.39136587707212e-07,1.50056161996037e-07,8.18724574247476e-08,7.27663581057136e-08,1.26346838491553e-07,5.90107869069545e-07,1.11850798971136e-05,1.46464759531728e-06
1.02585608729999e-06,8.51871640450419e-07,7.07366722474401e-07,6.34275436506293e-07,7.07366722474401e-07,1.02585608729999e-06,0.00501706931043883,0.00602294557224009,0.00556562576349512,0.0052299392953406,0.00556562576349512,0.00592778010349299,0.00610740742267846,0.00616194212612681,0.00616596987712692,0.00556562576349512,0.00731617478291624,0.0114496707511679,0.0148403731885171,0.015597179342326,0.0124041448197954,0.00503457038849603,0.00540764930013488,0.00366756204773794
0.0336455560350443,0.0319049081512837,0.0301446531567326,0.0292505431044827,0.0301446531567326,0.0336455560350443,0.0432616130931269,0.0492806606126198,0.0540975718558965,0.0553024719313055,0.0540975718558965,0.0528930664558399,0.0516887834927555,0.0504847087808649,0.0510867301871464,0.0540975718558965,0.0576514496115826,0.0559399050527121,0.0543242053742517,0.0539875663986,0.055478454954231,0.0561097158059394,0.0468728318805118,0.0408533150436009
0.00439736806499008,0.00425471629369856,0.00411191655421084,0.00404044538524634,0.00411191655421084,0.00439736806499008,0.00511247839038176,0.0058318811749859,0.00640985462117727,0.00655466444070268,0.00640985462117727,0.00626512927998352,0.00612053174493826,0.00597611988150065,0.00604829806900881,0.00640985462117727,0.00625524726006155,0.00427944722976631,0.0162178515913941,0.0191852372198077,0.0070452761503243,0.00640504950964177,0.00554445359272787,0.00482631363900571
