Case,Qg_frac,rho,u_min,N_ES_max,Feasible_volt,N_ES_sel,ES_Buses,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,TotalVoltSlack,TotalQg_pu,SolCode,SolTime_s
ES_Qg25,0.25,0.4,0.2,8,0,8,[7 8 14 18 29 30 31 32],0.865855437907915,18,0.431883501437075,0.77865554103635,0.800001892497655,15.2764271956069,0.176920960391061,0,1.1801443
ES_Qg50,0.5,0.4,0.2,8,0,8,[7 8 14 18 29 30 31 32],0.867018509485641,18,0.423296365376172,0.759252354765667,0.800001863021488,14.7829833951233,0.352091764807816,0,1.4007241
ES_Qg75,0.75,0.4,0.2,8,0,8,[7 8 14 18 29 30 31 32],0.868177449484608,18,0.421406180423329,0.767073130749911,0.80000601896842,14.3065954020552,0.53405610372171,0,1.3377323
Qg_full_ES,1,0.4,0.2,8,0,8,[7 8 14 18 29 30 31 32],0.869332017886636,18,0.409516747681781,0.770708275091677,0.800000115153783,13.8446043490989,0.716921252228534,0,1.2633683
ES_only,0,0.4,0.2,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.876187684874934,18,0.400985647386617,0.755886165983696,0.8,13.3291281918931,0,0,1.2488905
ES_Qg25,0.25,0.4,0.2,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.877331414341504,18,0.389810143888577,0.773267862781157,0.8,12.8787462869691,0.177459799574599,0,1.2918992
ES_Qg50,0.5,0.4,0.2,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.878471105405093,18,0.384332514587664,0.76005134235815,0.800000112200585,12.4296211818721,0.355193085441004,0,1.2299128
ES_Qg75,0.75,0.4,0.2,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.879606778384945,18,0.378139727455306,0.786447163929665,0.8,11.9832746490936,0.546477624572537,0,1.2635277
Qg_full_ES,1,0.4,0.2,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.880738489161105,18,0.366719144235784,0.785753094393095,0.800000783905125,11.5405197737838,0.749677961621773,0,1.2517528
ES_only,0,0.4,0.2,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.882270321467053,18,0.342203079116845,0.753991616160971,0.8,11.4384662737528,0,0,1.2176389
ES_Qg25,0.25,0.4,0.2,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.883401757982237,18,0.334080862031509,0.784350356426327,0.8,10.9972755294814,0.178405133622341,0,1.3598641
ES_Qg50,0.5,0.4,0.2,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.884529256445683,18,0.325922199855209,0.796955958591097,0.80000001700041,10.562521758799,0.365525466927627,0,1.3525593
ES_Qg75,0.75,0.4,0.2,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.88565285683597,18,0.327093734800848,0.764010464937403,0.800000488268625,10.1529268948196,0.530670163707378,0,1.251094
Qg_full_ES,1,0.4,0.2,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.886772572750206,18,0.313522558349671,0.779607004158385,0.8,9.77210373338947,0.728068469622603,0,1.2528079
ES_only,0,0.4,0.2,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.887529613202946,18,0.319777372926855,0.766063470154144,0.8,10.0026550329079,0,0,1.1595613
ES_Qg25,0.25,0.4,0.2,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.888650762248284,18,0.316289807856462,0.736939474090675,0.800002668705769,9.60975360734965,0.175540947756705,0,1.3584632
ES_Qg50,0.5,0.4,0.2,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.889768017219665,18,0.308712991084489,0.767588544969694,0.8,9.24177358987777,0.354280587840089,0,1.1661327
ES_Qg75,0.75,0.4,0.2,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.890881559938749,18,0.303382996041684,0.748010728357277,0.80000612483615,8.89795066431095,0.531061761566258,0,1.1439631
