h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1.31440442672231e-09,1.2112534930081e-09,1.14396465606131e-09,1.12381384304259e-09,1.14396465606131e-09,1.31440442672231e-09,2.29133008454851e-09,0.0120239229021795,0.0230869215273691,0.025864822714596,0.0230869215273691,0.0203139323667075,0.0175458034991909,0.0147824836952999,0.0161635456106427,0.0230869215273694,0.0370266200262735,0.0510960261498137,0.0624499685272399,0.0653026585588382,0.0539261212564464,0.0300410005442715,0.00652088196241885,1.83516616791651e-09
1.44134981429913e-09,1.31821608806216e-09,1.21602747842829e-09,1.17200197543597e-09,1.21602747842829e-09,1.44134981429913e-09,0.000183991872721569,0.0141708044339099,0.0254452018883544,0.0282760163605837,0.0254452018883544,0.0226193251695895,0.0197983341685961,0.0169821773723831,0.0183896546601982,0.0254452018883545,0.0396497303122867,0.0539846496558507,0.0655515238461039,0.0684575223545299,0.0568679331759956,0.0325316130317523,0.00856221253901719,2.05186744455063e-09
2.43419304854202e-09,2.08374956126645e-09,1.83711375498602e-09,1.73743386023665e-09,1.83711375498602e-09,2.43419304854202e-09,0.00777273240767885,0.0228206107115736,0.0349453154343833,0.0379889166487066,0.0349453154343833,0.031906736926762,0.0288731281061113,0.025844436466691,0.0273581708635323,0.0349453154343841,0.0502146477678812,0.0656166279556327,0.0780388729451482,0.0811589637277981,0.0687136069980192,0.0425638549603636,0.0167873554792546,0.00178594016514558
1.94593859596563e-09,2.202189784058e-09,2.1254754267281e-09,1.97954782663569e-09,2.1254754267281e-09,1.94593859596563e-09,0.0105450583453352,0.0259794092671169,0.0384135859711154,0.0415345976203025,0.0384135859711154,0.0352976142040101,0.0321866291009145,0.0290805779525791,0.0306329900194696,0.0384135859711163,0.0540701464721557,0.0698598114564294,0.0825925529056638,0.0857903183498218,0.0730343848112148,0.0462256842521558,0.0197915171371337,0.00440378676231885
4.47234482344217e-09,1.98446928628132e-09,2.12089485824816e-09,2.03375915398789e-09,2.12089485824816e-09,4.47234482344217e-09,0.0121942147225342,0.0278582679849707,0.0404763411716664,0.0436433463853443,0.0404763411716664,0.0373143837095119,0.0341574206900665,0.0310053993090986,0.0325807955374773,0.0404763411716672,0.056362950150303,0.0723828729712806,0.0852999805857035,0.0885438607648118,0.0756035241943806,0.048403438336234,0.0215784730054097,0.00596111234702455
6.01841210513105e-09,3.90252642929666e-09,2.26158129216115e-09,1.93702119047504e-09,2.26158129216115e-09,6.01841210513105e-09,0.013740601834906,0.0296198621656095,0.042410189946534,0.0456202716603926,0.042410189946534,0.0392051611873699,0.0360051320115083,0.0328100495512422,0.0344069756883369,0.0424101899465362,0.0585122347197975,0.0747477317449494,0.0878374044392191,0.0911244412271614,0.078011515196196,0.0504449882523191,0.0232539698826116,0.00742144976435931
0.000305043628361541,5.26262634296143e-09,1.02666790789181e-09,3.36054692046932e-09,1.02666790789181e-09,0.000305043628361541,0.0158762243252878,0.0320524956082828,0.0450805140346608,0.0483500302430985,0.0450805140346608,0.0418160555709228,0.0385566014256135,0.0353020986698216,0.0369287343738073,0.0450805140346548,0.0614797803463726,0.0780126264054003,0.091340275675686,0.094686820737484,0.0813358956718281,0.0532639076819498,0.0255677856195203,0.00943829838428186
0.000772489806229294,0.000650092372521428,1.02596702166738e-08,1.64108191790229e-09,1.02596702166738e-08,0.000772489806229294,0.0164190785741359,0.0326707624084307,0.0457591142046277,0.0490437142359859,0.0457591142046277,0.0424795721114827,0.0392050345304475,0.0359354485284998,0.0375696258319709,0.0457591142046316,0.0622338016233727,0.0788420739990833,0.0922300682638034,0.0955917001462013,0.0821804291753207,0.0539802177777832,0.0261558868582401,0.00995098885431128
1.94844661679381e-09,1.94923842201736e-09,1.95008850295023e-09,1.95054875332628e-09,1.95008850295023e-09,1.94844661679381e-09,1.94648498883387e-09,1.96137331507682e-09,1.95921890073383e-09,1.95860486551961e-09,1.95921890073383e-09,1.95977476618655e-09,1.96029890691591e-09,1.96086120705245e-09,1.96058645245588e-09,1.95921890073386e-09,1.95643488290462e-09,1.96225579215544e-09,1.95734588818398e-09,1.95622405189453e-09,1.96094481857121e-09,1.95775010140186e-09,1.94699358956945e-09,1.94684208086951e-09
2.10276998097478e-09,2.10577254703501e-09,2.10881202143073e-09,2.11031678934173e-09,2.10881202143073e-09,2.10276998097478e-09,2.09228424636468e-09,2.1047824323505e-09,2.09586492462169e-09,2.09418008881411e-09,2.09586492462169e-09,2.09777272960808e-09,2.09992325543408e-09,2.10229633962468e-09,2.10110674270026e-09,2.09586492462172e-09,2.08795653237719e-09,2.09468439808921e-09,2.08429185561392e-09,2.08191170167395e-09,2.09192782930382e-09,2.09176636030145e-09,2.08977481750336e-09,2.09549374069811e-09
